learner,persona,skill_gaps,learning_readiness_score,readiness_band,recommended_roadmap,estimated_completion_weeks,career_goal,career_readiness_score
MHxPC130020526,At-Risk Learner,"['Computer Science', 'Biology', 'Chemistry']",0.0,Needs Foundation Support,HarvardX/CS50x/2012 -> MITx/6.00x/2012_Fall -> MITx/6.00x/2013_Spring -> MITx/7.00x/2013_Spring -> MITx/3.091x/2012_Fall -> Capstone Project & Certification Milestone,24,Software Engineer,15.0
MHxPC130290143,Casual Explorer,"['Public Health', 'Biology', 'Chemistry']",0.0,Needs Foundation Support,HarvardX/PH278x/2013_Spring -> MITx/7.00x/2013_Spring -> MITx/3.091x/2012_Fall -> MITx/3.091x/2013_Spring -> Capstone Project & Certification Milestone,20,Public Health Analyst,10.0
MHxPC130378643,At-Risk Learner,"['Public Health', 'Biology', 'Chemistry']",0.0,Needs Foundation Support,HarvardX/PH278x/2013_Spring -> MITx/7.00x/2013_Spring -> MITx/3.091x/2012_Fall -> MITx/3.091x/2013_Spring -> Capstone Project & Certification Milestone,20,Public Health Analyst,10.0
MHxPC130258775,At-Risk Learner,"['Statistics & Public Health', 'Biology', 'Chemistry']",0.0,Needs Foundation Support,HarvardX/PH207x/2012_Fall -> MITx/7.00x/2013_Spring -> MITx/3.091x/2012_Fall -> MITx/3.091x/2013_Spring -> Capstone Project & Certification Milestone,20,Data Scientist,10.0
MHxPC130028120,Steady Progressor,"['Engineering', 'Biology', 'Physics']",0.0,Needs Foundation Support,MITx/6.002x/2012_Fall -> MITx/6.002x/2013_Spring -> MITx/2.01x/2013_Spring -> MITx/7.00x/2013_Spring -> MITx/8.MReV/2013_Summer -> Capstone Project & Certification Milestone,24,Research Scientist,22.5
MHxPC130231326,At-Risk Learner,"['Statistics & Public Health', 'Biology', 'Chemistry']",0.0,Needs Foundation Support,HarvardX/PH207x/2012_Fall -> MITx/7.00x/2013_Spring -> MITx/3.091x/2012_Fall -> MITx/3.091x/2013_Spring -> Capstone Project & Certification Milestone,20,Data Scientist,10.0
MHxPC130429283,At-Risk Learner,"['Computer Science', 'Biology', 'Chemistry']",0.0,Needs Foundation Support,HarvardX/CS50x/2012 -> MITx/6.00x/2012_Fall -> MITx/6.00x/2013_Spring -> MITx/7.00x/2013_Spring -> MITx/3.091x/2012_Fall -> Capstone Project & Certification Milestone,24,Software Engineer,15.0
MHxPC130154584,At-Risk Learner,"['Computer Science', 'Biology', 'Chemistry']",0.0,Needs Foundation Support,HarvardX/CS50x/2012 -> MITx/6.00x/2012_Fall -> MITx/6.00x/2013_Spring -> MITx/7.00x/2013_Spring -> MITx/3.091x/2012_Fall -> Capstone Project & Certification Milestone,24,Software Engineer,15.0
MHxPC130347331,At-Risk Learner,"['Computer Science', 'Biology', 'Chemistry']",0.0,Needs Foundation Support,HarvardX/CS50x/2012 -> MITx/6.00x/2012_Fall -> MITx/6.00x/2013_Spring -> MITx/7.00x/2013_Spring -> MITx/3.091x/2012_Fall -> Capstone Project & Certification Milestone,24,Software Engineer,15.0
MHxPC130035617,At-Risk Learner,"['Computer Science', 'Biology', 'Chemistry']",0.0,Needs Foundation Support,HarvardX/CS50x/2012 -> MITx/6.00x/2012_Fall -> MITx/6.00x/2013_Spring -> MITx/7.00x/2013_Spring -> MITx/3.091x/2012_Fall -> Capstone Project & Certification Milestone,24,Software Engineer,15.0
